vegetable,city,season,quantity,duration,gender,price
18,8,0,6628,2,1,106
1,7,2,2890,1,2,117
8,18,3,5348,3,1,66
18,4,3,2547,1,2,87
10,4,3,5240,2,1,20
12,13,0,2276,1,2,117
0,23,2,5649,2,1,57
1,24,2,3304,3,1,11
2,5,1,4119,1,1,68
2,21,2,6286,2,2,96
3,17,1,9323,2,2,105
6,6,2,6112,3,1,59
5,6,0,6546,2,1,64
5,21,3,8645,3,1,111
1,24,3,1581,1,2,112
5,8,1,4506,2,1,100
19,22,3,4660,3,1,102
10,14,3,9637,3,1,105
17,15,0,8129,1,2,33
7,20,2,5994,2,2,10
18,24,0,9665,3,2,47
19,0,1,8163,2,1,70
7,26,0,5091,2,1,54
15,7,2,4446,1,2,75
1,7,3,3467,2,2,79
12,20,3,8710,2,2,109
10,17,3,7565,3,2,119
15,11,0,3415,2,2,27
12,17,2,7806,1,2,106
14,16,2,8149,1,2,88
4,3,2,7752,2,1,34
12,16,2,3836,3,2,43
17,21,0,1993,1,1,11
2,11,0,5882,3,1,96
0,13,3,6629,3,1,70
5,14,2,9264,1,2,10
0,25,1,2196,1,2,105
16,14,2,1167,2,2,20
13,13,0,7878,2,1,73
2,20,2,2637,1,2,74
4,13,0,2114,2,1,19
9,18,1,6585,2,2,32
19,7,2,3731,2,1,75
0,8,0,6685,2,1,109
4,21,3,8550,3,1,74
0,13,3,9236,3,1,32
16,22,0,1207,2,1,28
9,2,3,7658,1,2,36
3,1,1,1341,2,1,41
18,12,3,6614,2,2,112
15,19,1,8874,2,1,28
10,0,2,9830,1,2,91
13,2,0,5782,1,1,103
9,11,3,2047,3,2,112
6,10,1,8839,3,1,87
7,13,3,8656,2,1,83
0,24,0,5855,2,2,36
7,19,0,4172,1,1,43
6,14,3,6567,2,1,28
12,5,0,3486,2,1,42
11,6,2,7335,1,1,56
10,22,2,4346,2,2,114
13,8,2,5517,1,1,16
19,2,0,1960,3,1,51
13,26,1,9633,2,2,98
8,11,2,9969,3,2,96
13,5,0,1939,2,1,116
18,16,3,4015,2,1,76
2,12,2,4856,3,1,102
17,8,1,8819,3,1,35
17,24,2,3386,2,1,41
18,27,0,3654,1,1,94
7,13,2,8887,3,1,45
19,1,2,2822,3,2,99
17,23,0,8154,1,2,10
14,7,0,1987,3,1,32
9,16,0,4739,2,1,67
16,22,3,1427,3,2,112
16,26,0,7189,1,1,16
3,21,1,2878,3,2,79
4,15,3,7618,3,1,64
9,12,3,2787,3,1,14
0,6,2,2052,3,1,109
6,0,1,6794,3,1,44
16,17,0,9670,1,2,76
4,6,1,1586,3,1,49
10,7,1,5061,1,1,21
10,21,0,8588,3,2,107
10,9,0,1373,3,1,79
16,16,0,6071,2,1,99
0,12,0,1341,2,2,101
14,26,0,7038,1,1,43
17,3,0,6579,1,2,85
17,6,0,8361,1,2,87
13,7,3,7832,2,1,65
6,1,3,1423,1,1,99
8,25,1,8574,3,1,111
9,3,3,3332,3,1,25
4,0,0,4569,3,1,14
13,8,3,6002,3,2,72
1,8,2,9683,2,2,61
6,18,3,3385,2,2,35
2,26,1,8680,1,1,21
0,16,2,4439,3,2,90
11,12,1,1605,2,1,52
15,10,1,1589,1,2,108
7,6,0,4583,2,2,69
7,11,2,7695,2,1,16
14,25,2,7516,1,2,90
3,19,0,8949,2,2,47
11,5,3,9254,3,1,80
6,14,3,6294,3,1,35
0,16,1,1874,3,1,17
8,19,1,2427,3,1,29
11,26,2,9252,3,1,96
4,25,3,7544,1,1,52
8,16,0,2088,2,1,26
2,24,3,5810,2,1,23
9,12,3,7929,1,1,96
11,13,2,1058,3,1,102
13,13,1,6753,3,2,14
2,5,0,4500,3,1,58
1,20,1,5077,3,2,88
9,1,3,2898,3,2,100
2,13,0,5949,1,1,58
7,11,3,6509,2,1,51
4,20,1,4335,2,1,67
14,8,2,1560,3,1,32
8,11,1,9378,1,1,118
14,25,3,6612,3,1,84
6,13,3,4080,2,1,34
6,16,3,5922,1,1,52
3,15,1,3390,1,1,114
0,13,2,5559,3,1,64
15,15,2,7269,2,2,57
16,19,2,2794,3,2,18
16,16,1,8429,3,2,72
7,9,1,5930,3,2,44
0,4,3,7576,3,2,70
0,2,3,9275,2,2,51
16,21,0,4440,1,2,28
17,8,2,9265,3,2,57
3,10,0,6112,1,1,95
11,24,1,8750,1,2,98
9,14,3,5370,2,1,66
11,8,0,5538,3,1,25
17,4,3,2194,3,1,102
14,19,1,4031,3,2,42
17,16,2,1166,2,1,52
15,21,1,2527,3,2,76
1,27,0,3234,3,2,85
14,18,2,5067,2,2,96
16,15,0,8099,2,1,87
13,18,1,5732,3,2,20
7,10,3,1468,1,1,76
14,8,0,8817,3,2,26
18,22,2,9290,2,2,112
4,7,1,2285,3,2,54
6,16,2,2774,3,2,48
5,21,1,3009,3,1,22
5,1,3,6816,2,2,92
17,25,2,4349,1,1,27
1,16,3,5414,1,1,51
14,10,2,1626,1,2,83
0,4,2,7154,2,2,114
4,12,1,1802,2,2,63
13,3,3,7490,2,1,29
3,13,2,4532,3,2,71
13,6,2,6399,3,1,100
15,25,2,7748,2,1,105
2,11,1,9726,2,2,15
4,23,1,6309,2,1,102
13,27,1,4912,1,1,68
4,25,1,6543,2,2,109
4,3,3,1659,3,1,16
1,9,1,4795,3,2,59
8,6,0,2201,2,2,18
18,11,1,3406,3,1,110
9,25,1,9966,1,1,14
14,10,2,6606,1,2,75
12,24,0,3174,3,1,99
13,13,1,9573,3,2,39
14,18,3,2622,3,1,74
8,1,1,6492,2,1,86
17,13,2,4909,1,1,43
10,8,0,9243,1,1,98
8,24,0,5953,1,2,116
14,19,1,2840,2,1,33
15,16,2,5774,3,1,102
19,27,2,5334,2,2,33
7,21,1,7394,1,2,118
3,10,0,1410,2,2,24
15,1,0,6126,2,1,90
14,11,1,6235,3,2,59
17,14,0,9682,3,2,50
18,4,1,6194,1,1,76
4,16,1,1314,2,2,32
18,8,3,8955,3,1,80
7,24,0,1621,3,2,42
17,27,0,8520,3,2,103
17,20,3,3147,3,1,65
16,25,2,6303,1,1,119
4,4,0,9421,1,2,69
5,10,2,4641,3,1,48
11,11,0,4875,3,1,11
11,25,2,1052,2,1,71
19,16,1,6154,1,1,78
16,0,3,7169,1,1,74
7,13,3,2560,3,1,36
9,9,0,3739,3,2,85
4,12,3,9324,2,2,45
15,0,3,4562,3,2,92
8,8,2,9186,1,1,30
8,22,3,5744,3,1,62
4,8,1,4614,1,2,75
11,27,3,4968,1,1,74
9,0,3,8433,2,1,20
0,11,1,8637,2,2,98
12,2,1,6612,2,2,70
14,15,3,7109,3,1,102
6,27,1,7472,1,2,117
16,1,2,5891,3,1,30
18,24,2,7865,2,2,113
17,10,3,6974,2,1,92
8,21,0,6696,2,1,89
8,25,0,4629,3,2,99
0,19,0,8537,2,1,97
13,12,3,4275,2,2,60
12,18,0,7532,2,1,50
5,15,3,5275,1,1,62
18,11,1,5712,3,1,101
13,20,3,9802,3,2,92
6,6,1,9973,2,1,98
5,2,2,4171,2,1,94
2,4,1,3838,3,1,91
0,15,3,4393,3,2,115
18,6,2,8919,1,2,112
6,17,1,8027,1,2,84
6,19,0,4455,3,1,67
11,12,2,8026,2,1,45
13,12,2,6237,2,2,49
16,26,1,3777,3,2,100
10,24,2,7211,2,1,83
17,18,3,1815,2,1,48
15,2,0,6888,2,2,81
4,24,0,6122,3,1,65
15,19,0,8747,1,2,14
11,3,0,9802,3,2,98
15,17,1,1617,2,1,18
16,10,2,2837,1,1,44
0,9,0,8470,3,1,23
19,25,0,4143,3,1,30
19,0,2,7130,3,2,59
4,19,2,4602,1,1,109
6,11,2,9842,2,2,70
15,27,0,2610,2,2,96
14,7,2,7217,3,2,107
7,27,2,3567,1,2,97
12,17,1,5115,3,1,80
9,16,1,2767,2,2,28
0,14,2,5133,1,2,67
8,21,2,6347,2,1,115
8,3,2,2871,3,2,28
6,20,2,7749,2,1,33
13,9,1,2094,1,2,45
8,0,3,2400,1,1,29
16,20,3,2915,1,2,15
8,18,3,7495,3,2,85
16,21,2,7328,2,1,93
8,6,1,3383,1,2,119
2,24,0,6978,2,2,66
19,24,2,3444,2,1,37
13,14,1,4505,3,2,80
4,3,1,7103,3,1,55
10,10,3,9079,1,1,45
15,26,0,4503,1,1,99
18,4,1,1522,1,2,92
14,2,3,6139,1,1,105
15,16,3,5691,2,1,64
9,16,1,4730,1,2,107
11,9,0,7380,2,2,44
18,0,2,8300,3,2,97
6,2,1,1409,3,1,14
6,1,3,5111,1,1,59
11,1,2,1505,2,2,25
14,24,3,5923,2,2,99
11,10,2,6794,2,2,26
10,1,1,4487,2,2,35
5,3,1,4362,2,2,49
19,27,3,3963,3,2,74
3,13,1,2647,3,1,93
14,4,3,6807,2,1,17
0,7,2,2054,1,2,60
14,17,0,1160,3,1,77
7,26,1,6696,1,2,45
11,24,0,6127,2,1,72
19,12,2,8958,2,1,114
14,2,0,8035,3,1,60
17,9,0,2875,3,1,44
4,13,0,6257,3,2,57
8,12,2,4726,2,2,94
3,12,0,2184,1,2,85
17,2,3,3585,2,2,90
10,1,1,8392,2,1,94
18,20,1,8345,2,2,42
12,18,1,3915,1,2,85
17,0,0,6682,2,2,46
7,4,1,3795,3,2,104
8,5,2,1820,2,2,35
14,23,1,6469,1,1,37
8,13,3,2763,1,1,83
0,7,0,8742,2,1,69
11,0,2,6957,3,1,31
9,21,0,6338,3,1,26
3,21,0,4032,1,1,115
13,9,0,7357,2,1,55
18,11,0,1204,2,2,29
16,22,3,3833,3,1,115
14,20,2,5403,2,2,99
10,4,2,4418,2,2,106
13,10,3,2524,1,2,73
7,0,2,2157,3,2,50
19,2,0,3633,1,2,116
12,14,0,1580,3,2,51
4,19,2,2897,1,1,27
8,27,0,7297,1,1,46
14,0,1,8402,2,1,72
1,14,0,3792,2,2,17
17,20,0,6142,1,1,24
5,25,3,7028,3,1,68
1,24,2,7931,2,2,106
9,23,0,2244,1,2,26
4,15,3,5594,2,1,69
5,1,0,1877,1,1,57
2,12,0,8729,1,1,10
12,13,2,9748,1,1,53
17,24,1,1037,2,2,19
7,0,0,3620,1,2,101
16,13,2,4887,2,1,51
8,2,1,9400,3,1,73
1,10,2,2022,3,1,50
3,19,0,8123,1,1,90
8,27,2,2084,1,1,96
0,24,2,8582,3,1,61
15,4,0,6639,3,2,44
13,17,0,2910,3,1,82
15,16,2,2976,1,2,118
1,19,3,7459,3,2,13
9,27,1,2334,1,2,54
10,0,0,4363,3,1,94
7,10,3,2773,3,1,38
5,25,2,6935,2,1,84
8,7,3,8694,3,1,28
12,25,0,7617,2,1,35
11,13,3,3280,1,1,89
6,25,2,3582,2,2,32
1,18,1,7599,2,2,20
15,7,2,2144,1,2,92
9,23,1,2193,3,1,90
8,21,1,2468,1,2,23
7,10,2,1445,2,2,67
5,16,0,2288,2,1,97
4,9,0,1679,2,2,102
1,1,0,8090,3,1,84
17,2,2,2448,3,2,55
17,26,0,6736,2,1,34
5,12,3,4128,3,2,32
8,7,0,6815,3,1,42
6,11,1,7902,2,2,52
9,12,3,7799,1,1,48
7,1,1,9717,3,2,97
11,4,1,8524,2,1,56
16,13,2,8127,3,1,69
10,22,3,2446,2,2,95
0,0,2,7789,2,2,18
4,18,2,3096,3,2,90
4,23,3,9550,2,2,85
18,13,3,5067,1,2,102
4,15,3,4334,3,1,72
3,23,0,9798,2,1,72
16,23,2,1249,2,2,41
19,26,0,9982,3,1,18
10,17,1,3655,1,1,119
1,24,3,9061,2,1,20
19,23,3,7853,2,1,22
12,11,1,6808,1,2,36
12,16,1,9099,3,1,77
4,21,2,6201,1,2,92
19,19,0,2176,2,1,12
1,6,0,3315,3,2,110
4,24,2,1311,3,2,59
5,13,3,6024,2,1,92
1,8,0,5518,2,1,82
14,8,2,4196,2,1,69
7,3,2,9633,2,2,119
18,0,2,4882,3,1,86
4,3,2,9857,3,1,12
18,1,3,4812,2,1,66
11,3,2,3964,2,2,110
7,9,2,2205,3,2,28
5,17,0,7600,1,2,65
3,26,1,6668,3,2,55
1,24,2,9425,2,1,44
17,24,0,3407,2,2,103
15,27,3,9624,2,2,86
8,19,2,5736,1,1,57
3,8,2,6357,2,2,39
9,1,0,3745,1,2,49
15,27,1,7195,1,2,51
19,14,2,4959,2,2,83
4,23,1,2619,2,2,87
11,11,2,9840,1,2,44
18,18,2,3075,3,1,79
14,6,3,1861,2,1,34
15,0,0,7590,3,2,38
4,22,0,8325,3,2,34
11,22,2,9143,1,1,16
17,0,0,7022,2,1,63
12,16,0,1883,3,1,94
7,14,0,5476,3,1,86
17,14,1,1252,3,1,26
8,3,0,3700,1,1,111
0,26,0,4549,2,2,75
4,1,2,2266,1,1,31
5,12,1,1763,1,1,10
9,22,2,7402,2,1,30
8,25,3,8446,1,2,50
11,5,0,4740,1,1,81
9,19,3,5519,3,2,26
13,21,0,9994,3,2,67
3,11,2,9517,2,1,95
2,25,1,8749,2,2,87
5,8,2,7512,1,1,10
1,21,0,6929,2,1,94
2,16,3,5614,3,2,55
15,11,1,8543,3,2,47
15,16,2,4186,1,1,54
9,15,1,5781,2,2,16
13,13,1,1554,2,1,14
6,13,1,7084,3,1,65
17,5,3,6221,2,2,43
3,15,1,3215,2,1,79
0,15,3,4315,1,1,20
18,5,3,3872,3,1,59
1,8,2,2365,1,2,75
6,10,3,1733,3,2,63
18,27,3,8041,2,1,42
18,10,1,6847,3,1,113
0,3,1,6562,2,2,19
5,17,0,4851,2,1,86
3,0,1,5305,2,2,14
3,26,2,2897,3,1,27
18,10,2,3050,2,2,45
5,19,1,5415,3,1,79
7,20,1,2751,2,2,94
6,0,0,3956,3,2,100
2,20,1,5193,3,2,48
5,16,0,9678,2,1,106
6,23,3,7407,1,1,102
4,5,0,5727,2,1,74
6,9,3,7227,3,2,24
19,1,0,2627,2,1,20
2,4,0,9908,1,2,119
3,5,2,6327,2,2,109
10,10,3,2512,2,2,109
5,8,1,6601,3,2,51
15,26,2,7711,1,2,22
0,22,2,3695,2,2,26
2,7,0,3430,2,1,56
13,2,0,9214,2,1,105
17,26,1,4481,1,2,57
4,2,3,4230,1,2,66
12,11,3,1513,1,2,22
0,4,1,3938,2,2,21
17,14,3,6471,2,1,29
16,4,3,4142,3,2,111
3,7,3,3663,2,2,16
13,4,3,4185,2,2,101
15,0,0,6614,3,1,47
11,0,3,7148,2,1,95
4,26,2,2768,1,1,100
18,12,0,1812,1,1,32
7,27,1,2024,2,1,14
3,23,2,3687,2,2,79
4,4,2,8915,2,1,58
3,4,0,4627,2,1,105
11,0,2,6683,1,1,31
0,13,2,1515,1,2,19
2,27,3,6775,2,1,84
5,11,0,5239,3,2,30
16,2,2,9369,1,1,73
16,5,2,1939,2,1,32
13,1,3,6101,2,1,19
3,7,3,9640,3,1,42
12,9,0,5771,2,1,32
8,24,0,7127,2,2,40
15,6,2,2440,3,1,78
7,10,3,2883,2,1,83
16,26,3,5460,3,1,33
17,14,2,1540,2,2,38
3,19,3,9899,3,2,51
0,6,3,1667,3,2,36
18,7,1,9844,3,2,72
18,4,0,6161,1,1,111
14,26,0,3889,2,1,30
13,0,0,5930,1,1,98
14,4,1,3433,2,2,112
5,7,0,5727,2,2,40
10,19,1,6707,3,1,43
5,19,3,3167,1,1,36
4,2,1,6477,1,2,30
19,21,1,6455,1,2,62
14,0,3,1163,2,2,27
6,22,3,6068,3,2,61
9,18,0,3649,3,2,11
3,17,3,2845,3,1,70
18,3,0,6728,2,2,70
13,26,0,6938,1,1,111
5,14,0,4730,1,2,66
1,7,1,2559,1,1,71
7,24,3,7445,3,2,51
13,24,3,4334,3,2,97
14,22,2,8099,2,1,104
2,24,3,7201,2,1,102
16,20,1,2579,2,2,42
1,11,3,3824,2,2,76
12,3,0,6221,3,2,52
9,18,1,7118,2,2,38
0,0,0,5042,2,2,103
3,12,0,3735,3,1,79
7,19,1,2205,2,1,63
15,20,0,6087,1,1,50
0,2,1,9988,1,1,17
7,25,3,9134,1,2,61
13,23,1,9002,1,2,17
19,25,2,8366,2,2,38
5,25,3,3387,1,1,24
7,19,1,6602,2,2,11
15,17,0,5947,2,1,20
17,23,2,1715,3,1,15
3,26,0,8656,1,2,22
19,27,2,9290,1,1,39
2,27,1,7936,1,1,33
5,8,1,9448,3,1,51
1,5,0,4362,1,1,33
14,3,3,2742,3,2,95
12,16,2,3154,3,2,92
17,11,1,5671,1,2,105
12,25,3,5593,2,2,110
15,12,2,1782,1,1,54
16,13,2,4955,1,1,83
14,17,2,1631,1,2,34
15,24,3,9434,1,1,22
4,24,2,1829,1,2,104
2,2,0,4832,3,1,11
18,20,0,1730,2,1,110
5,5,1,3918,1,2,117
11,19,0,1188,3,1,79
12,25,1,9962,2,2,74
11,15,2,6045,1,1,107
2,21,3,8490,1,1,113
12,6,3,1570,1,2,71
7,0,1,1555,1,1,40
16,20,0,8490,2,1,88
13,22,3,8365,2,1,57
18,8,0,6076,1,2,118
13,16,3,4578,3,1,28
10,6,1,2994,3,2,43
0,21,0,7830,3,1,117
8,0,0,7256,3,1,61
14,6,1,9845,3,1,30
3,4,1,5096,1,2,23
11,7,2,6882,2,1,106
10,5,3,2776,2,1,32
11,19,2,2255,3,2,101
0,0,0,2203,1,1,107
12,15,1,6225,3,2,107
14,18,0,3761,1,2,30
0,19,3,3095,1,2,73
9,20,1,4701,3,1,68
5,10,2,2542,1,2,109
12,14,2,7925,1,1,101
0,18,3,8922,1,2,119
6,12,3,1260,1,1,26
16,27,0,8654,2,1,62
5,14,0,1064,2,1,54
3,4,1,2243,3,2,56
1,13,2,7604,2,2,115
18,17,0,8789,3,2,96
10,12,3,6154,3,1,92
2,19,3,5458,2,2,22
5,12,3,5203,2,2,93
10,17,0,9438,3,2,52
18,27,0,9440,2,2,84
14,15,2,7420,2,2,112
15,18,0,3402,3,2,78
3,7,1,1915,1,1,10
16,22,2,2242,3,1,35
14,20,2,8570,3,1,71
17,9,3,2705,1,2,89
19,24,2,8833,3,2,89
14,20,3,5523,2,2,110
14,26,2,5867,1,2,18
18,19,1,9756,2,1,41
18,18,3,9776,1,1,101
18,27,1,2430,2,2,115
19,20,1,4482,3,2,26
7,4,2,7635,1,2,15
3,6,3,3533,3,1,99
1,25,2,4521,2,1,100
19,8,1,7439,1,1,113
19,2,2,6684,2,1,68
9,7,0,1558,2,2,89
14,10,3,8990,1,1,107
15,22,3,4478,2,1,57
17,7,0,9585,2,1,36
3,8,2,3742,1,1,79
13,8,1,7583,1,1,37
18,14,3,1889,3,1,27
5,16,0,8536,3,1,75
19,6,0,2178,2,1,71
1,6,2,8080,3,1,25
10,18,2,3328,1,1,112
15,5,3,5933,1,1,107
14,11,1,5408,1,1,82
1,6,2,6844,2,2,106
5,6,1,1974,3,1,92
18,16,2,6086,3,2,35
0,7,2,6338,2,2,47
16,3,1,7125,1,1,59
8,1,2,6726,2,1,63
18,15,1,3471,1,1,97
16,24,3,3366,2,1,15
19,0,0,2731,1,2,59
2,0,1,6140,2,1,62
10,27,3,4797,2,2,17
14,3,1,4233,2,2,10
4,10,1,8615,1,1,62
0,15,1,5426,2,1,100
10,0,2,5522,3,1,40
18,27,3,7899,3,2,38
17,20,3,5086,1,1,109
12,0,2,5535,3,1,64
8,13,3,1852,3,1,29
2,17,3,7567,1,2,43
7,16,0,4301,2,1,27
16,17,0,5608,2,2,107
0,27,3,9213,1,2,65
10,25,2,9646,3,1,91
2,27,2,8013,3,2,39
8,18,0,5426,3,1,76
17,24,2,2207,1,1,24
12,24,3,9144,3,2,105
13,11,1,7207,1,1,86
12,8,2,8792,1,2,72
6,24,1,5802,2,2,80
0,2,3,4560,3,2,63
2,25,3,7935,3,1,94
4,20,3,6774,3,2,36
11,23,1,1057,3,2,43
19,11,1,5540,3,1,81
6,16,1,4257,3,1,66
8,24,0,5835,1,2,20
2,17,3,5706,3,1,58
4,15,1,1902,1,1,23
10,14,1,8973,1,1,111
3,14,1,2079,3,2,29
19,4,1,5173,3,1,105
15,13,3,9165,3,1,18
0,25,1,7682,1,1,108
7,23,2,1372,3,1,117
2,17,1,3660,3,1,37
7,25,2,3705,3,1,90
0,7,3,4098,3,2,24
12,0,1,7069,1,1,79
6,22,1,1684,1,2,83
17,16,2,2400,3,2,80
19,17,1,1458,1,1,46
10,18,2,7912,2,2,65
11,0,2,4108,3,2,14
2,5,0,9485,2,1,27
14,10,0,9750,1,1,78
7,26,2,2713,1,1,97
2,20,1,7250,1,1,39
11,27,3,9568,1,2,107
8,6,0,7929,1,1,102
6,14,3,3960,2,2,32
1,27,0,8848,1,1,115
9,25,0,3974,3,2,26
7,10,0,8094,3,2,117
14,14,1,1197,1,2,102
4,14,1,7145,1,1,60
19,18,0,9205,2,2,111
6,24,1,2687,1,2,112
2,21,2,5115,1,1,50
9,20,3,2616,1,1,39
8,24,2,6726,3,2,52
14,26,3,5893,3,1,55
13,27,3,8533,1,2,19
14,23,0,2068,3,1,66
18,6,2,1665,3,2,108
19,22,2,5303,3,2,54
16,18,3,4062,1,2,100
15,0,1,1043,1,1,83
1,11,2,9662,2,2,98
14,4,1,1044,2,2,84
3,7,1,3525,2,2,109
3,8,3,7214,1,2,28
4,10,0,6399,2,1,111
7,0,2,4556,3,2,23
10,12,1,7752,2,1,72
14,27,2,8570,2,2,108
2,20,1,5173,1,2,64
15,11,1,9512,1,2,100
4,23,3,7248,1,2,80
17,12,3,7320,2,2,63
8,9,3,9618,2,1,38
5,6,3,5340,3,2,94
0,26,3,2277,2,2,63
2,23,0,4893,3,1,36
5,9,3,6874,1,1,48
1,18,3,8464,3,2,115
11,26,0,1926,1,2,100
10,3,2,2342,3,2,39
10,17,2,5252,3,1,119
18,4,3,9459,2,1,118
5,22,1,6837,1,2,69
17,26,1,8585,2,1,96
3,5,2,2549,1,1,70
0,12,1,9763,2,2,85
15,10,0,5791,2,2,35
6,6,2,7069,2,2,78
13,5,2,4466,2,1,88
19,9,3,6397,1,1,37
7,26,2,6773,2,2,21
11,4,1,9270,2,2,106
19,0,1,5902,2,2,49
5,20,2,9487,3,2,99
1,11,3,2164,2,2,116
5,23,0,9078,3,2,23
0,8,1,1173,2,2,11
6,7,0,9750,2,2,19
4,2,2,8500,3,1,64
15,10,3,2642,2,2,82
3,13,2,5390,2,1,36
8,3,3,1702,1,2,90
2,24,0,8975,1,2,17
14,9,0,9911,1,2,38
18,18,3,1767,3,1,26
16,11,1,1959,2,2,100
19,21,3,7746,2,2,81
10,17,1,5419,1,2,58
2,16,1,2515,2,2,61
8,2,3,2811,2,2,45
9,18,3,4813,1,1,95
11,8,0,7768,3,2,58
0,15,2,9124,3,2,84
16,27,3,1530,3,1,66
13,21,2,1350,1,1,13
19,14,0,9924,2,2,72
5,7,1,7614,2,1,54
10,11,1,7203,3,2,80
13,23,1,2555,3,1,105
10,19,2,7241,1,1,19
0,14,3,4623,1,1,70
14,14,1,5428,1,1,25
7,6,1,3647,3,1,40
13,19,3,5176,2,2,90
11,19,0,1771,2,1,67
17,10,1,8502,2,1,115
6,1,2,6060,1,2,30
8,10,1,6450,1,2,48
16,2,3,6784,2,2,28
16,7,1,7407,3,2,64
17,1,1,2245,1,1,49
13,3,3,3347,3,2,23
6,17,1,6327,2,1,15
5,9,0,2219,1,2,65
15,7,3,4110,1,2,73
6,26,1,7577,2,2,27
19,1,1,4950,1,1,62
12,25,0,3597,2,1,72
14,7,0,1207,2,2,109
17,1,3,8688,3,2,14
14,0,3,1150,1,2,47
6,22,2,9921,3,1,22
6,20,0,7022,1,1,74
13,12,2,9690,1,1,20
19,13,2,4811,2,1,113
18,7,1,3351,2,1,54
9,8,0,7985,3,2,66
6,24,0,6493,2,1,13
10,4,0,1410,2,1,45
6,3,2,3262,2,1,57
9,21,1,7151,3,1,32
3,18,0,3728,2,2,83
12,11,3,9713,3,2,50
2,6,0,9422,3,1,23
3,12,2,3268,2,1,103
1,21,3,7705,1,2,52
9,24,2,2371,3,2,90
14,21,1,6350,1,1,50
11,5,2,8271,1,1,115
4,18,0,8803,2,2,68
12,24,0,7452,1,2,79
7,13,3,3743,2,1,63
14,6,2,3961,1,1,66
11,5,3,2481,3,1,39
3,19,1,2581,3,1,19
17,1,3,2791,1,2,32
14,26,2,7204,3,1,65
8,11,2,5401,1,1,14
14,8,2,4079,2,1,27
15,13,0,6133,1,1,102
3,21,0,9193,3,1,105
4,12,1,1273,3,2,95
5,20,2,5618,1,1,27
15,9,3,5964,2,1,113
9,10,0,5673,1,2,36
12,11,2,6293,3,1,64
17,2,1,6404,2,1,63
15,12,0,1118,2,2,54
9,7,1,4312,1,2,92
1,9,2,8704,1,2,85
6,3,3,5058,3,2,111
4,15,3,7997,2,1,88
18,1,2,7753,3,2,27
2,6,0,5146,1,2,97
14,22,2,5469,3,2,55
6,3,2,5121,1,1,32
14,11,2,6457,2,1,24
5,0,0,2093,3,2,32
17,19,3,6748,3,1,68
14,5,1,8189,2,1,75
18,26,1,9722,2,2,54
16,17,3,7902,3,2,56
15,17,1,2416,1,1,59
8,16,3,1779,2,2,118
4,8,3,8403,3,2,50
1,22,0,4152,2,2,18
1,3,3,2934,2,1,114
11,25,2,4403,1,1,65
7,13,3,9925,1,1,77
6,1,3,9825,1,1,90
16,6,3,7318,2,1,48
8,26,3,9021,2,1,79
8,4,1,6694,2,2,85
6,7,1,3698,2,1,93
1,25,0,3987,1,1,91
13,23,2,7190,3,1,112
10,0,0,7252,2,2,110
17,13,1,7781,1,1,63
19,12,1,1307,3,2,48
0,17,2,5846,3,2,89
6,21,3,6384,3,2,99
5,7,2,9882,2,2,32
8,24,2,8570,1,1,90
7,7,2,8894,2,2,65
7,15,0,6108,1,1,70
14,11,0,5370,1,2,86
3,22,0,4747,3,1,75
15,27,2,6855,2,2,114
9,8,2,2447,1,1,107
14,12,1,4613,2,2,86
9,11,1,8909,2,1,31
9,16,1,8132,2,2,78
11,12,3,5062,1,2,36
2,12,1,2127,2,2,62
6,17,0,2062,2,2,39
11,9,3,1459,3,2,11
13,7,1,7448,2,1,27
19,14,3,4917,1,1,50
19,0,3,2976,1,2,24
19,12,2,9723,1,1,10
2,4,1,3273,3,1,56
3,26,1,9731,2,1,49
2,1,2,4815,2,2,72
6,0,3,7534,1,2,87
16,19,2,4388,3,1,106
7,15,0,2827,1,2,99
1,9,0,7134,2,2,103
7,27,2,6229,2,1,98
2,15,2,8426,1,2,49
5,18,2,6752,1,1,94
10,14,0,2766,3,2,36
13,16,0,6594,1,2,57
14,5,3,5020,3,1,35
19,18,1,9190,1,1,99
13,18,0,3197,1,1,105
9,9,1,5591,3,2,59
19,13,0,2913,3,2,71
9,22,0,4980,2,2,68
16,23,1,7518,1,1,118
18,0,1,8478,3,2,33
17,11,3,1347,2,2,119
3,4,2,4246,2,1,34
17,23,3,8829,2,1,81
9,2,3,4452,1,1,16
9,23,1,1844,2,1,74
7,7,1,9264,3,2,83
13,16,1,7916,1,2,17
3,16,3,3037,1,2,53
6,4,2,4192,1,2,86
6,8,1,2525,3,2,61
11,11,3,8042,3,2,99
10,11,2,9732,3,2,46
5,11,3,2119,3,1,18
2,20,2,5039,2,2,45
5,2,2,3446,1,2,71
3,0,1,4989,2,2,98
14,1,1,6553,3,1,20
17,11,0,2036,2,1,63
12,10,1,2668,1,1,36
6,0,2,6135,2,2,18
8,11,2,2808,2,1,51
14,5,3,6977,2,1,51
13,15,0,7033,1,1,68
12,3,1,6263,1,2,54
0,19,0,5955,2,1,63
19,10,3,8681,1,1,113
4,14,2,4507,1,2,79
9,15,3,2671,3,2,96
6,11,2,5587,3,2,85
9,21,0,1143,1,2,89
3,6,3,1774,3,2,55
12,20,0,8410,3,2,71
2,4,1,9045,2,2,82
18,8,1,4705,1,1,88
14,11,1,1632,3,2,39
5,2,0,7693,3,1,87
13,11,2,1014,1,1,48
